PROJ,PROJ Description
epsg:2911,NAD83(HARN) / Oklahoma North (ftUS)
epsg:2912,NAD83(HARN) / Oklahoma South (ftUS)
epsg:2913,NAD83(HARN) / Oregon North (ft)
epsg:2914,NAD83(HARN) / Oregon South (ft)
epsg:2915,NAD83(HARN) / Tennessee (ftUS)
epsg:2916,NAD83(HARN) / Texas North (ftUS)
epsg:2917,NAD83(HARN) / Texas North Central (ftUS)
epsg:2918,NAD83(HARN) / Texas Central (ftUS)
epsg:2919,NAD83(HARN) / Texas South Central (ftUS)
epsg:2920,NAD83(HARN) / Texas South (ftUS)
epsg:2921,NAD83(HARN) / Utah North (ft)
epsg:2922,NAD83(HARN) / Utah Central (ft)
